,names,name images
132,Arshdeep Singh,https://scores.iplt20.com/ipl/playerimages/Arshdeep%20Singh.png
133,Navdeep Saini,https://scores.iplt20.com/ipl/playerimages/Navdeep%20Saini.png
134,Prasidh Krishna,https://scores.iplt20.com/ipl/playerimages/Prasidh%20Krishna.png
135,Manan Vohra,https://scores.iplt20.com/ipl/playerimages/Manan%20Vohra.png
136,Kamlesh Nagarkoti,https://scores.iplt20.com/ipl/playerimages/Kamlesh%20Nagarkoti.png
137,Murugan Ashwin,https://scores.iplt20.com/ipl/playerimages/Murugan%20Ashwin.png
138,Harbhajan Singh,https://scores.iplt20.com/ipl/playerimages/Harbhajan%20Singh.png
139,Virat Singh,https://scores.iplt20.com/ipl/playerimages/Virat%20Singh.png
140,Mujeeb Ur Rahman,https://scores.iplt20.com/ipl/playerimages/Mujeeb%20Ur%20Rahman.png
141,Khaleel Ahmed,https://scores.iplt20.com/ipl/playerimages/Khaleel%20Ahmed.png
142,Jhye Richardson,https://scores.iplt20.com/ipl/playerimages/Jhye%20Richardson.png
143,Riley Meredith,https://scores.iplt20.com/ipl/playerimages/Riley%20Meredith.png
144,Ajinkya Rahane,https://scores.iplt20.com/ipl/playerimages/Ajinkya%20Rahane.png
145,Chris Woakes,https://scores.iplt20.com/ipl/playerimages/Chris%20Woakes.png
146,Shahbaz Nadeem,https://scores.iplt20.com/ipl/playerimages/Shahbaz%20Nadeem.png
147,TNatarajan,https://scores.iplt20.com/ipl/playerimages/TNatarajan.png
148,Marco Jansen,https://scores.iplt20.com/ipl/playerimages/Marco%20Jansen.png
149,Ben Stokes,https://scores.iplt20.com/ipl/playerimages/Ben%20Stokes.png
150,Chris Lynn,https://scores.iplt20.com/ipl/playerimages/Chris%20Lynn.png
151,Obed Mc Coy,https://scores.iplt20.com/ipl/playerimages/Obed%20Mc%20Coy.png
152,Matthew Wade,https://scores.iplt20.com/ipl/playerimages/Matthew%20Wade.png
153,Josh Hazlewood,https://scores.iplt20.com/ipl/playerimages/Josh%20Hazlewood.png
154,Dushmantha Chameera,https://scores.iplt20.com/ipl/playerimages/Dushmantha%20Chameera.png
155,Romario Shepherd,https://scores.iplt20.com/ipl/playerimages/Romario%20Shepherd.png
156,Jagadeesha Suchith,https://scores.iplt20.com/ipl/playerimages/Jagadeesha%20Suchith.png
157,Umran Malik,https://scores.iplt20.com/ipl/playerimages/Umran%20Malik.png
158,Jitesh Sharma,https://scores.iplt20.com/ipl/playerimages/Jitesh%20Sharma.png
159,Prerak Mankad,https://scores.iplt20.com/ipl/playerimages/Prerak%20Mankad.png
160,Mitchell Marsh,https://scores.iplt20.com/ipl/playerimages/Mitchell%20Marsh.png
161,Rovman Powell,https://scores.iplt20.com/ipl/playerimages/Rovman%20Powell.png
162,Kuldeep Yadav,https://scores.iplt20.com/ipl/playerimages/Kuldeep%20Yadav.png
163,Dewald Brevis,https://scores.iplt20.com/ipl/playerimages/Dewald%20Brevis.png
164,Tilak Varma,https://scores.iplt20.com/ipl/playerimages/Tilak%20Varma.png
165,Ramandeep Singh,https://scores.iplt20.com/ipl/playerimages/Ramandeep%20Singh.png
166,Devon Conway,https://scores.iplt20.com/ipl/playerimages/Devon%20Conway.png
167,Narayan Jagadeesan,https://scores.iplt20.com/ipl/playerimages/Narayan%20Jagadeesan.png
168,Mitchell Santner,https://scores.iplt20.com/ipl/playerimages/Mitchell%20Santner.png
169,Simarjeet Singh,https://scores.iplt20.com/ipl/playerimages/Simarjeet%20Singh.png
170,Abhijeet Tomar,https://scores.iplt20.com/ipl/playerimages/Abhijeet%20Tomar.png
171,Sam Billings,https://scores.iplt20.com/ipl/playerimages/Sam%20Billings.png
172,Rinku Singh,https://scores.iplt20.com/ipl/playerimages/Rinku%20Singh.png
173,Umesh Yadav,https://scores.iplt20.com/ipl/playerimages/Umesh%20Yadav.png
174,Tristan Stubbs,https://scores.iplt20.com/ipl/playerimages/Tristan%20Stubbs.png
175,Sanjay Yadav,https://scores.iplt20.com/ipl/playerimages/Sanjay%20Yadav.png
176,Bhanuka Rajapaksa,https://scores.iplt20.com/ipl/playerimages/Bhanuka%20Rajapaksa.png
177,Rishi Dhawan,https://scores.iplt20.com/ipl/playerimages/Rishi%20Dhawan.png
178,Ayush Badoni,https://scores.iplt20.com/ipl/playerimages/Ayush%20Badoni.png
179,Mohsin Khan,https://scores.iplt20.com/ipl/playerimages/Mohsin%20Khan.png
180,Shashank Singh,https://scores.iplt20.com/ipl/playerimages/Shashank%20Singh.png
181,Maheesh Theekshana,https://scores.iplt20.com/ipl/playerimages/Maheesh%20Theekshana.png
182,Mukesh Choudhary,https://scores.iplt20.com/ipl/playerimages/Mukesh%20Choudhary.png
183,Hrithik Shokeen,https://scores.iplt20.com/ipl/playerimages/Hrithik%20Shokeen.png
184,Rassievander Dussen,https://scores.iplt20.com/ipl/playerimages/Rassievander%20Dussen.png
185,Karan Sharma,https://scores.iplt20.com/ipl/playerimages/Karan%20Sharma.png
186,Sheldon Jackson,https://scores.iplt20.com/ipl/playerimages/Sheldon%20Jackson.png
187,Kumar Kartikeya,https://scores.iplt20.com/ipl/playerimages/Kumar%20Kartikeya.png
188,Anrich Nortje,https://scores.iplt20.com/ipl/playerimages/Anrich%20Nortje.png
189,Fazalhaq Farooqi,https://scores.iplt20.com/ipl/playerimages/Fazalhaq%20Farooqi.png
190,Baba Indrajith,https://scores.iplt20.com/ipl/playerimages/Baba%20Indrajith.png
191,Aaron Finch,https://scores.iplt20.com/ipl/playerimages/Aaron%20Finch.png
192,Anukul Roy,https://scores.iplt20.com/ipl/playerimages/Anukul%20Roy.png
193,Harshit Rana,https://scores.iplt20.com/ipl/playerimages/Harshit%20Rana.png
194,Sai Sudharsan,https://scores.iplt20.com/ipl/playerimages/Sai%20Sudharsan.png
195,Sean Abbott,https://scores.iplt20.com/ipl/playerimages/Sean%20Abbott.png
196,Dwaine Pretorius,https://scores.iplt20.com/ipl/playerimages/Dwaine%20Pretorius.png
