District,Month,Visitors,,,,,,,,,,,
Nagarkurnool,April,85938,,,,,,,,,,,
Nagarkurnool,May,900,,,,,,,,,,,
Nagarkurnool,June,31800,,,,,,,,,,,
Nagarkurnool,July,114690,,,,,,,,,,,
Nagarkurnool,August,123210,,,,,,,,,,,
Nagarkurnool,September,104510,,,,,,,,,,,
Nagarkurnool,October,91559,,,,,,,,,,,
Nagarkurnool,November,117740,,,,,,,,,,,
Nagarkurnool,December,111530,,,,,,,,,,,
Nalgonda & Suryapet,January,9097,,,,,,,,,,,
Nalgonda & Suryapet,February,6126,,,,,,,,,,,
Nalgonda & Suryapet,March,5729,,,,,,,,,,,
Nalgonda & Suryapet,April,1033,,,,,,,,,,,
Nalgonda & Suryapet,May,148,,,,,,,,,,,
Nalgonda & Suryapet,June,1044,,,,,,,,,,,
Nalgonda & Suryapet,July,6744,,,,,,,,,,,
Nalgonda & Suryapet,August,7852,,,,,,,,,,,
Nalgonda & Suryapet,September,21650,,,,,,,,,,,
Nalgonda & Suryapet,October,14431,,,,,,,,,,,
Nalgonda & Suryapet,November,7684,,,,,,,,,,,
Nalgonda & Suryapet,December,12528,,,,,,,,,,,
Narayanapet,January,45720,,,,,,,,,,,
Narayanapet,February,34377,,,,,,,,,,,
Narayanapet,March,34327,,,,,,,,,,,
Narayanapet,April,24289,,,,,,,,,,,
Narayanapet,May,328,,,,,,,,,,,
Narayanapet,June,6010,,,,,,,,,,,
Narayanapet,July,26950,,,,,,,,,,,
Narayanapet,August,24200,,,,,,,,,,,
Narayanapet,September,19500,,,,,,,,,,,
Narayanapet,October,23700,,,,,,,,,,,
Narayanapet,November,27400,,,,,,,,,,,
Narayanapet,December,24250,,,,,,,,,,,
Nirmal,January,154786,,,,,,,,,,,
Nirmal,February,225686,,,,,,,,,,,
Nirmal,March,205287,,,,,,,,,,,
Nirmal,April,125395,,,,,,,,,,,
Nirmal,May,25969,,,,,,,,,,,
Nirmal,June,7048,,,,,,,,,,,
Nirmal,July,125523,,,,,,,,,,,
Nirmal,August,173301,,,,,,,,,,,
Nirmal,September,225421,,,,,,,,,,,
Nirmal,October,265203,,,,,,,,,,,
Nirmal,November,228200,,,,,,,,,,,
Nirmal,December,195660,,,,,,,,,,,
Nizamabad,January,9450,,,,,,,,,,,
Nizamabad,February,50500,,,,,,,,,,,
Nizamabad,March,61080,,,,,,,,,,,
Nizamabad,April,30430,,,,,,,,,,,
Nizamabad,May,0,,,,,,,,,,,
Nizamabad,June,2020,,,,,,,,,,,
Nizamabad,July,14050,,,,,,,,,,,
Nizamabad,August,19580,,,,,,,,,,,
