District,Month,Visitors,,,,,,,,,
Mulugu,January,10,,,,,,,,,
Mulugu,February,8,,,,,,,,,
Mulugu,March,9,,,,,,,,,
Mulugu,April,8,,,,,,,,,
Mulugu,May,8,,,,,,,,,
Mulugu,June,8,,,,,,,,,
Mulugu,July,8,,,,,,,,,
Mulugu,August,10,,,,,,,,,
Mulugu, September,10,,,,,,,,,
Mulugu,October,11,,,,,,,,,
Mulugu,November,10,,,,,,,,,
Mulugu,December,10,,,,,,,,,
Nagarkurnool,January,0,,,,,,,,,
Nagarkurnool,February,0,,,,,,,,,
Nagarkurnool,March,0,,,,,,,,,
Nagarkurnool,April,0,,,,,,,,,
Nagarkurnool,May,0,,,,,,,,,
Nagarkurnool,June,0,,,,,,,,,
Nagarkurnool,July,0,,,,,,,,,
Nagarkurnool,August,0,,,,,,,,,
Nagarkurnool, September,0,,,,,,,,,
Nagarkurnool,October,0,,,,,,,,,
Nagarkurnool,November,0,,,,,,,,,
Nagarkurnool,December,0,,,,,,,,,
Nalgonda,January,0,,,,,,,,,
Nalgonda,February,0,,,,,,,,,
Nalgonda,March,0,,,,,,,,,
Nalgonda,April,0,,,,,,,,,
Nalgonda,May,0,,,,,,,,,
Nalgonda,June,0,,,,,,,,,
Nalgonda,July,0,,,,,,,,,
Nalgonda,August,0,,,,,,,,,
Nalgonda, September,0,,,,,,,,,
Nalgonda,October,0,,,,,,,,,
Nalgonda,November,0,,,,,,,,,
Nalgonda,December,0,,,,,,,,,
Narayanpet,January,0,,,,,,,,,
Narayanpet,February,0,,,,,,,,,
Narayanpet,March,0,,,,,,,,,
Narayanpet,April,0,,,,,,,,,
Narayanpet,May,0,,,,,,,,,
Narayanpet,June,0,,,,,,,,,
Narayanpet,July,0,,,,,,,,,
Narayanpet,August,0,,,,,,,,,
Narayanpet, September,0,,,,,,,,,
Narayanpet,October,0,,,,,,,,,
Narayanpet,November,0,,,,,,,,,
Narayanpet,December,0,,,,,,,,,
Nirmal,January,0,,,,,,,,,
Nirmal,February,0,,,,,,,,,
Nirmal,March,0,,,,,,,,,
Nirmal,April,0,,,,,,,,,
Nirmal,May,0,,,,,,,,,
Nirmal,June,0,,,,,,,,,
Nirmal,July,0,,,,,,,,,
Nirmal,August,0,,,,,,,,,
Nirmal, September,0,,,,,,,,,
Nirmal,October,0,,,,,,,,,
Nirmal,November,0,,,,,,,,,
Nirmal,December,0,,,,,,,,,
Nizamabad,January,0,,,,,,,,,
Nizamabad,February,0,,,,,,,,,
Nizamabad,March,0,,,,,,,,,
Nizamabad,April,0,,,,,,,,,
Nizamabad,May,2,,,,,,,,,
Nizamabad,June,0,,,,,,,,,
Nizamabad,July,0,,,,,,,,,
Nizamabad,August,0,,,,,,,,,
Nizamabad, September,0,,,,,,,,,
Nizamabad,October,0,,,,,,,,,
Nizamabad,November,0,,,,,,,,,
Nizamabad,December,0,,,,,,,,,
Peddapa li,January,0,,,,,,,,,
Peddapa li,February,0,,,,,,,,,
Peddapa li,March,0,,,,,,,,,
Peddapa li,April,0,,,,,,,,,
Peddapa li,May,0,,,,,,,,,
Peddapa li,June,0,,,,,,,,,
Peddapa li,July,0,,,,,,,,,
Peddapa li,August,0,,,,,,,,,
Peddapa li, September,0,,,,,,,,,
Peddapa li,October,0,,,,,,,,,
Peddapa li,November,0,,,,,,,,,
Peddapa li,December,0,,,,,,,,,
Rajanna Sircilla,January,0,,,,,,,,,
Rajanna Sircilla,February,0,,,,,,,,,
Rajanna Sircilla,March,0,,,,,,,,,
Rajanna Sircilla,April,0,,,,,,,,,
Rajanna Sircilla,May,0,,,,,,,,,
Rajanna Sircilla,June,0,,,,,,,,,
Rajanna Sircilla,July,0,,,,,,,,,
Rajanna Sircilla,August,0,,,,,,,,,
Rajanna Sircilla, September,0,,,,,,,,,
Rajanna Sircilla,October,0,,,,,,,,,
Rajanna Sircilla,November,0,,,,,,,,,
Rajanna Sircilla,December,0,,,,,,,,,
Sangareddy,January,0,,,,,,,,,
Sangareddy,February,0,,,,,,,,,
Sangareddy,March,0,,,,,,,,,
Sangareddy,April,0,,,,,,,,,
Sangareddy,May,0,,,,,,,,,
Sangareddy,June,0,,,,,,,,,
Sangareddy,July,0,,,,,,,,,
Sangareddy,August,0,,,,,,,,,
Sangareddy, September,0,,,,,,,,,
Sangareddy,October,0,,,,,,,,,
Sangareddy,November,0,,,,,,,,,
Sangareddy,December,0,,,,,,,,,
Siddip et,January,0,,,,,,,,,
Siddip et,February,0,,,,,,,,,
Siddip et,March,0,,,,,,,,,
Siddip et,April,0,,,,,,,,,
Siddip et,May,0,,,,,,,,,
Siddip et,June,0,,,,,,,,,
Siddip et,July,0,,,,,,,,,
Siddip et,August,0,,,,,,,,,
Siddip et, September,0,,,,,,,,,
Siddip et,October,0,,,,,,,,,
Siddip et,November,0,,,,,,,,,
Siddip et,December,0,,,,,,,,,
Suryapet,January,0,,,,,,,,,
Suryapet,February,0,,,,,,,,,
Suryapet,March,0,,,,,,,,,
Suryapet,April,0,,,,,,,,,
Suryapet,May,0,,,,,,,,,
Suryapet,June,0,,,,,,,,,
Suryapet,July,0,,,,,,,,,
Suryapet,August,0,,,,,,,,,
Suryapet, September,0,,,,,,,,,
Suryapet,October,0,,,,,,,,,
Suryapet,November,0,,,,,,,,,
Suryapet,December,0,,,,,,,,,
Wanaparthy,January,0,,,,,,,,,
Wanaparthy,February,0,,,,,,,,,
Wanaparthy,March,0,,,,,,,,,
Wanaparthy,April,0,,,,,,,,,
Wanaparthy,May,0,,,,,,,,,
Wanaparthy,June,0,,,,,,,,,
Wanaparthy,July,0,,,,,,,,,
Wanaparthy,August,0,,,,,,,,,
Wanaparthy, September,0,,,,,,,,,
Wanaparthy,October,0,,,,,,,,,
Wanaparthy,November,0,,,,,,,,,
Wanaparthy,December,0,,,,,,,,,
Warangal (Rural),January,0,,,,,,,,,
Warangal (Rural),February,0,,,,,,,,,
Warangal (Rural),March,0,,,,,,,,,
Warangal (Rural),April,0,,,,,,,,,
Warangal (Rural),May,0,,,,,,,,,
Warangal (Rural),June,0,,,,,,,,,
Warangal (Rural),July,0,,,,,,,,,
Warangal (Rural),August,11,,,,,,,,,
Warangal (Rural), September,13,,,,,,,,,
Warangal (Rural),October,0,,,,,,,,,
Warangal (Rural),November,12,,,,,,,,,
Warangal (Rural),December,11,,,,,,,,,
Yadadri Bhongir •,January,0,,,,,,,,,
Yadadri Bhongir •,February,0,,,,,,,,,
Yadadri Bhongir •,March,0,,,,,,,,,
Yadadri Bhongir •,April,0,,,,,,,,,
Yadadri Bhongir •,May,0,,,,,,,,,
Yadadri Bhongir •,June,0,,,,,,,,,
Yadadri Bhongir •,July,0,,,,,,,,,
Yadadri Bhongir •,August,0,,,,,,,,,
Yadadri Bhongir •, September,0,,,,,,,,,
Yadadri Bhongir •,October,0,,,,,,,,,
Yadadri Bhongir •,November,0,,,,,,,,,
Yadadri Bhongir •,December,0,,,,,,,,,
